"week","knr","2019","2020","difference_people","percrank","0","color"
"27",3,26242,28824,2582,6,0,"lightblue"
"27",4,94714,147340,52626,8,0,"lightblue"
"27",5,296967,298399,1432,5,0,"lightblue"
"27",6,78217,80955,2738,4,0,"lightblue"
"27",8,16061,18119,2058,5,0,"lightblue"
"27",9,83998,42048,-41950,6,0,"lightblue"
"27",10,21206,20403,-803,6,0,"lightblue"
"27",11,245354,191671,-53683,5,0,"lightblue"
"27",12,6017,9086,3069,6,0,"lightblue"
"28",1,152438,156571,4133,10,0,"lightblue"
"28",2,218030,285987,67957,9,0,"lightblue"
"28",3,24638,30608,5970,7,0,"lightblue"
"28",4,87977,159923,71946,10,0,"lightblue"
"28",5,290386,312895,22509,7,0,"lightblue"
"28",6,66979,72639,5660,5,0,"lightblue"
"28",8,15623,20394,4771,9,0,"lightblue"
"28",9,82625,45011,-37614,6,0,"lightblue"
"28",10,22908,21973,-935,6,0,"lightblue"
"28",11,255551,200145,-55406,5,0,"lightblue"
"28",12,5317,9812,4495,6,0,"lightblue"
"29",1,172193,140367,-31826,8,0,"lightblue"
"29",2,349316,238659,-110657,1,0,"lightblue"
"29",3,23848,25594,1746,6,0,"lightblue"
"29",4,85288,131952,46664,8,0,"lightblue"
"29",5,273593,269068,-4525,5,0,"lightblue"
"29",6,66524,74816,8292,6,0,"lightblue"
"29",8,13525,15228,1703,5,0,"lightblue"
"29",9,73550,40937,-32613,7,0,"lightblue"
"29",10,20154,19058,-1096,5,0,"lightblue"
"29",11,203466,171591,-31875,6,0,"lightblue"
"30",1,143192,129972,-13220,9,0,"lightblue"
"30",2,289413,249180,-40233,3,0,"lightblue"
"30",3,23532,25652,2120,6,0,"lightblue"
"30",4,75225,134850,59625,9,0,"lightblue"
"30",5,259257,262661,3404,5,0,"lightblue"
"30",6,60578,84148,23570,8,0,"lightblue"
"30",8,11166,15409,4243,8,0,"lightblue"
"30",9,53545,41033,-12512,9,0,"lightblue"
"30",10,15678,18531,2853,8,0,"lightblue"
"30",11,106351,164097,57746,10,0,"lightblue"
"31",1,154768,118022,-36746,8,0,"lightblue"
"31",2,145859,296540,150681,10,0,"lightblue"
"31",3,27294,23816,-3478,5,0,"lightblue"
"31",4,63465,129154,65689,9,0,"lightblue"
"31",5,232434,248337,15903,6,0,"lightblue"
"31",6,67109,79986,12877,7,0,"lightblue"
"31",8,9766,14453,4687,8,0,"lightblue"
"31",9,69647,40593,-29054,8,0,"lightblue"
"31",10,20393,17993,-2400,4,0,"lightblue"
"31",11,124375,150553,26178,9,0,"lightblue"
"32",1,177560,140813,-36747,8,0,"lightblue"
"32",2,217671,250440,32769,9,0,"lightblue"
"32",3,27881,22796,-5085,3,0,"lightblue"
"32",4,66795,121140,54345,8,0,"lightblue"
"32",5,237992,254700,16708,7,0,"lightblue"
"32",6,67712,77668,9956,6,0,"lightblue"
"32",8,10205,13360,3155,6,0,"lightblue"
"32",9,75542,42525,-33017,7,0,"lightblue"
"32",10,17441,18029,588,6,0,"lightblue"
"32",11,127756,171602,43846,9,0,"lightblue"
"33",1,202132,141670,-60462,5,0,"lightblue"
"33",2,213649,300162,86513,10,0,"lightblue"
"33",3,35149,29098,-6051,2,0,"lightblue"
"33",4,78378,149664,71286,10,0,"lightblue"
"33",5,268082,291465,23383,7,0,"lightblue"
"33",6,79071,92716,13645,7,0,"lightblue"
"33",8,12962,18636,5674,9,0,"lightblue"
"33",9,83273,42108,-41165,6,0,"lightblue"
"33",10,21138,18365,-2773,3,0,"lightblue"
"33",11,159684,171865,12181,8,0,"lightblue"
"34",1,200003,148813,-51190,7,0,"lightblue"
"34",2,251314,212112,-39202,3,0,"lightblue"
"34",3,34133,28232,-5901,2,0,"lightblue"
"34",4,77079,147308,70229,9,0,"lightblue"
"34",5,273517,297720,24203,8,0,"lightblue"
"34",6,77261,86927,9666,6,0,"lightblue"
"34",8,13130,19189,6059,10,0,"lightblue"
"34",9,82657,22127,-60530,1,0,"lightblue"
"34",10,19424,18232,-1192,5,0,"lightblue"
"34",11,148437,172753,24316,9,0,"lightblue"
"35",1,199742,148293,-51449,6,0,"lightblue"
"35",2,322874,133277,-189597,0,0,"lightblue"
"35",3,39844,25742,-14102,0,0,"lightblue"
"35",4,95822,128688,32866,7,0,"lightblue"
"35",5,315975,270242,-45733,2,0,"lightblue"
"35",6,94293,68517,-25776,2,0,"lightblue"
"35",8,16830,17577,747,3,0,"lightblue"
"35",9,88324,9332,-78992,0,0,"lightblue"
"35",10,19661,16500,-3161,3,0,"lightblue"
"35",11,161362,147537,-13825,7,0,"lightblue"
"36",1,193493,175232,-18261,9,0,"lightblue"
"36",2,157740,161513,3773,7,0,"lightblue"
"36",3,32233,28412,-3821,4,0,"lightblue"
"36",4,76341,142220,65879,9,0,"lightblue"
"36",5,259360,312701,53341,10,0,"lightblue"
"36",6,73354,69061,-4293,4,0,"lightblue"
"36",8,12796,18196,5400,9,0,"lightblue"
"36",9,77714,24037,-53677,4,0,"lightblue"
"36",10,17449,19098,1649,7,0,"lightblue"
"36",11,136795,175963,39168,9,0,"lightblue"
"37",1,203545,206873,3328,9,0,"lightblue"
"37",2,214844,194489,-20355,5,0,"lightblue"
"37",3,36560,29544,-7016,2,0,"lightblue"
"37",4,102409,153447,51038,8,0,"lightblue"
"37",5,289117,333444,44327,9,0,"lightblue"
"37",6,86057,74648,-11409,3,0,"lightblue"
"37",8,14301,20018,5717,9,0,"lightblue"
"37",9,83227,28419,-54808,3,0,"lightblue"
"37",10,21886,20628,-1258,5,0,"lightblue"
"37",11,161836,228317,66481,10,0,"lightblue"
"38",1,238542,195434,-43108,8,0,"lightblue"
"38",2,188671,149537,-39134,3,0,"lightblue"
"38",3,39712,29940,-9772,1,0,"lightblue"
"38",4,113328,155590,42262,8,0,"lightblue"
"38",5,288385,327224,38839,8,0,"lightblue"
"38",6,91179,87023,-4156,4,0,"lightblue"
"38",8,15803,20271,4468,8,0,"lightblue"
"38",9,82759,27399,-55360,3,0,"lightblue"
"38",10,21980,18879,-3101,3,0,"lightblue"
"38",11,190784,204500,13716,8,0,"lightblue"
"39",1,207791,156306,-51485,6,0,"lightblue"
"39",2,147004,80183,-66821,1,0,"lightblue"
"39",3,28923,24192,-4731,4,0,"lightblue"
"39",4,96149,119550,23401,6,0,"lightblue"
"39",5,266267,261817,-4450,5,0,"lightblue"
"39",6,74195,70695,-3500,4,0,"lightblue"
"39",8,11572,15416,3844,7,0,"lightblue"
"39",9,80812,20425,-60387,1,0,"lightblue"
"39",10,33684,15933,-17751,1,0,"lightblue"
"39",11,140286,146348,6062,8,0,"lightblue"
"40",1,199479,172603,-26876,8,0,"lightblue"
"40",2,129181,88079,-41102,2,0,"lightblue"
"40",3,28934,23466,-5468,3,0,"lightblue"
"40",4,85938,121482,35544,7,0,"lightblue"
"40",5,251673,288513,36840,8,0,"lightblue"
"40",6,83671,72054,-11617,2,0,"lightblue"
"40",8,11141,15512,4371,8,0,"lightblue"
"40",9,77068,23162,-53906,4,0,"lightblue"
"40",10,31776,17522,-14254,1,0,"lightblue"
"40",11,129456,167610,38154,9,0,"lightblue"
"41",1,198713,154690,-44023,7,0,"lightblue"
"41",2,131171,68596,-62575,2,0,"lightblue"
"41",3,24831,18750,-6081,2,0,"lightblue"
"41",4,78042,97139,19097,6,0,"lightblue"
"41",5,290629,265414,-25215,3,0,"lightblue"
"41",6,131589,97298,-34291,1,0,"lightblue"
"41",8,9124,11410,2286,5,0,"lightblue"
"41",9,74789,17304,-57485,2,0,"lightblue"
"41",10,72089,50779,-21310,1,0,"lightblue"
"41",11,130717,122563,-8154,8,0,"lightblue"
"41",12,1904,4841,2937,5,0,"lightblue"
"42",1,193024,156646,-36378,8,0,"lightblue"
"42",2,129438,83906,-45532,2,0,"lightblue"
"42",3,26771,18046,-8725,1,0,"lightblue"
"42",4,80825,94354,13529,5,0,"lightblue"
"42",5,281681,270191,-11490,4,0,"lightblue"
"42",6,127746,109258,-18488,2,0,"lightblue"
"42",8,9379,11380,2001,5,0,"lightblue"
"42",9,75106,17669,-57437,2,0,"lightblue"
"42",10,74442,71879,-2563,4,0,"lightblue"
"42",11,153150,141490,-11660,8,0,"lightblue"
"42",12,4578,4876,298,2,0,"lightblue"
"43",1,210578,162572,-48006,7,0,"lightblue"
"43",2,153057,103515,-49542,2,0,"lightblue"
"43",3,33419,21120,-12299,1,0,"lightblue"
"43",4,97989,104649,6660,4,0,"lightblue"
"43",5,351150,300802,-50348,2,0,"lightblue"
"43",6,148417,128393,-20024,2,0,"lightblue"
"43",8,13132,14164,1032,3,0,"lightblue"
"43",9,84009,22021,-61988,1,0,"lightblue"
"43",10,98024,93598,-4426,3,0,"lightblue"
"43",11,262087,156545,-105542,1,0,"lightblue"
"43",12,5957,6283,326,2,0,"lightblue"
"44",1,193201,135644,-57557,5,0,"lightblue"
"44",2,106294,79676,-26618,5,0,"lightblue"
"44",3,22815,17756,-5059,3,0,"lightblue"
"44",4,64788,80193,15405,5,0,"lightblue"
"44",5,258260,247783,-10477,4,0,"lightblue"
"44",6,93181,99668,6487,5,0,"lightblue"
"44",8,8556,10012,1456,4,0,"lightblue"
"44",9,77222,18351,-58871,2,0,"lightblue"
"44",10,81502,83468,1966,7,0,"lightblue"
"44",11,255538,137777,-117761,0,0,"lightblue"
"44",12,3738,4791,1053,3,0,"lightblue"
"45",1,205162,144222,-60940,5,0,"lightblue"
"45",2,114083,95643,-18440,5,0,"lightblue"
"45",3,25152,19568,-5584,3,0,"lightblue"
"45",4,67637,94746,27109,6,0,"lightblue"
"45",5,273271,272536,-735,5,0,"lightblue"
"45",6,104575,116945,12370,7,0,"lightblue"
"45",8,9460,12964,3504,7,0,"lightblue"
"45",9,76020,21948,-54072,3,0,"lightblue"
"45",10,89589,93509,3920,8,0,"lightblue"
"45",11,254023,147467,-106556,1,0,"lightblue"
"45",12,4031,5384,1353,4,0,"lightblue"
"46",1,209485,158135,-51350,6,0,"lightblue"
"46",2,115500,113569,-1931,6,0,"lightblue"
"46",3,25147,21422,-3725,4,0,"lightblue"
"46",4,94190,106289,12099,5,0,"lightblue"
"46",5,274723,314788,40065,8,0,"lightblue"
"46",6,103311,139565,36254,9,0,"lightblue"
"46",8,9310,14219,4909,9,0,"lightblue"
"46",9,77654,26685,-50969,4,0,"lightblue"
"46",10,88550,97996,9446,8,0,"lightblue"
"46",11,244290,161906,-82384,3,0,"lightblue"
"46",12,4329,6250,1921,4,0,"lightblue"
"47",1,215531,151314,-64217,5,0,"lightblue"
"47",2,120414,89094,-31320,4,0,"lightblue"
"47",3,25808,19568,-6240,2,0,"lightblue"
"47",4,94109,96310,2201,3,0,"lightblue"
"47",5,281263,286751,5488,6,0,"lightblue"
"47",6,109914,117359,7445,6,0,"lightblue"
"47",8,9692,12679,2987,6,0,"lightblue"
"47",9,77183,21359,-55824,3,0,"lightblue"
"47",10,94780,92773,-2007,5,0,"lightblue"
"47",11,249521,145583,-103938,1,0,"lightblue"
"47",12,4209,4848,639,3,0,"lightblue"
"48",1,203413,149655,-53758,6,0,"lightblue"
"48",2,104120,75633,-28487,5,0,"lightblue"
"48",3,21511,13524,-7987,1,0,"lightblue"
"48",4,86169,93113,6944,4,0,"lightblue"
"48",5,261108,262933,1825,5,0,"lightblue"
"48",6,91903,97390,5487,5,0,"lightblue"
"48",8,8501,12398,3897,7,0,"lightblue"
"48",9,75057,16152,-58905,2,0,"lightblue"
"48",10,87430,84744,-2686,4,0,"lightblue"
"48",11,237302,143748,-93554,2,0,"lightblue"
"48",12,3727,4866,1139,3,0,"lightblue"
"49",1,216661,141779,-74882,4,0,"lightblue"
"49",2,115018,62702,-52316,2,0,"lightblue"
"49",3,16112,15346,-766,5,0,"lightblue"
"49",4,88995,77107,-11888,2,0,"lightblue"
"49",5,276991,239023,-37968,2,0,"lightblue"
"49",6,93582,86931,-6651,3,0,"lightblue"
"49",8,9175,8870,-305,2,0,"lightblue"
"49",9,76480,14298,-62182,1,0,"lightblue"
"49",10,91610,85646,-5964,3,0,"lightblue"
"49",11,239858,134734,-105124,1,0,"lightblue"
"49",12,3835,3713,-122,2,0,"lightblue"
"50",1,209681,136813,-72868,4,0,"lightblue"
"50",2,101517,62225,-39292,3,0,"lightblue"
"50",3,19205,15192,-4013,4,0,"lightblue"
"50",4,77437,73204,-4233,2,0,"lightblue"
"50",5,239305,229995,-9310,4,0,"lightblue"
"50",6,87504,84584,-2920,4,0,"lightblue"
"50",8,7277,8390,1113,3,0,"lightblue"
"50",9,74953,15452,-59501,2,0,"lightblue"
"50",10,86762,79484,-7278,2,0,"lightblue"
"50",11,231636,132687,-98949,2,0,"lightblue"
"50",12,3139,3676,537,3,0,"lightblue"
"51",1,208571,138664,-69907,4,0,"lightblue"
"51",2,99653,72830,-26823,5,0,"lightblue"
"51",3,23452,15464,-7988,1,0,"lightblue"
"51",4,87999,81204,-6795,2,0,"lightblue"
"51",5,263020,250832,-12188,4,0,"lightblue"
"51",6,93063,99007,5944,5,0,"lightblue"
"51",8,8969,10374,1405,4,0,"lightblue"
"51",9,73401,16770,-56631,2,0,"lightblue"
"51",10,81709,85575,3866,8,0,"lightblue"
"51",11,235448,137810,-97638,2,0,"lightblue"
"51",12,3806,4031,225,2,0,"lightblue"
"52",1,99462,91949,-7513,9,0,"lightblue"
"52",2,51926,57590,5664,7,0,"lightblue"
"52",3,7359,9934,2575,6,0,"lightblue"
"52",4,28640,46221,17581,6,0,"lightblue"
"52",5,133661,176200,42539,9,0,"lightblue"
"52",6,57250,78216,20966,8,0,"lightblue"
"52",8,2151,5376,3225,6,0,"lightblue"
"52",9,39286,16607,-22679,8,0,"lightblue"
"52",10,45963,63815,17852,9,0,"lightblue"
"52",11,127289,107544,-19745,7,0,"lightblue"
"52",12,1134,2356,1222,4,0,"lightblue"
"29",12,NA,7344,NA,8,0,"lightblue"
"30",12,NA,7188,NA,8,0,"lightblue"
"31",12,NA,6417,NA,8,0,"lightblue"
"32",12,NA,6326,NA,8,0,"lightblue"
"33",12,NA,8046,NA,8,0,"lightblue"
"34",12,NA,8193,NA,9,0,"lightblue"
"35",12,NA,7688,NA,9,0,"lightblue"
"36",12,NA,8618,NA,9,0,"lightblue"
"37",12,NA,9405,NA,9,0,"lightblue"
"38",12,NA,9075,NA,9,0,"lightblue"
"39",12,NA,7188,NA,10,0,"lightblue"
"40",12,NA,6793,NA,10,0,"lightblue"
"53",1,NA,58362,NA,10,0,"lightblue"
"53",2,NA,26358,NA,10,0,"lightblue"
"53",3,NA,5000,NA,10,0,"lightblue"
"53",4,NA,23877,NA,10,0,"lightblue"
"53",5,NA,96282,NA,10,0,"lightblue"
"53",6,NA,43014,NA,10,0,"lightblue"
"53",8,NA,2332,NA,10,0,"lightblue"
"53",9,NA,7529,NA,10,0,"lightblue"
"53",10,NA,35114,NA,10,0,"lightblue"
"53",11,NA,71437,NA,10,0,"lightblue"
"53",12,NA,1234,NA,10,0,"lightblue"
